DTC Kodu,Başlık,Alt Sistem,Öncelik,Neden Sayısı,Adım Sayısı
U0035,P0035 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0036,P0036 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0037,P0037 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0038,P0038 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0039,P0039 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0040,P0040 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0041,P0041 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0042,P0042 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0043,P0043 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0044,P0044 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
U0045,P0045 OBD Code,CAN-Bus & Ağ Haberleşme / ECU İletişim Kaybı,MEDIUM,3,3
P2000,NOx Trap Efficiency Below Threshold Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2001,NOx Trap Efficiency Below Threshold Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2002,Diesel Particulate Filter Efficiency Below Threshold B1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2003,Diesel Particulate Filter Efficiency Below Threshold B2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2004,Intake Manifold Runner Control Stuck Open Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2005,Intake Manifold Runner Control Stuck Open Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2006,Intake Manifold Runner Control Stuck Closed Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,4
P2007,Intake Manifold Runner Control Stuck Closed Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,4
P2008,Intake Manifold Runner Circuit Open Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,4
P2009,Intake Manifold Runner Control Circuit Low Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,4
P2010,Intake Manifold Runner Control Circuit High Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,4
P2011,Intake Manifold Runner Circuit Open Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,4
P2012,Intake Manifold Runner Control Circuit Low Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,4
P2013,Intake Manifold Runner Control Circuit High Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,4
P2014,Intake Manifold Runner Position Sensor / Switch Circuit Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,4,3
P2015,Intake Manifold Runner Position Sensor / Switch Circuit Range Perf Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,4,3
P2016,Intake Manifold Runner Position Sensor / Switch Circuit Low Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,3,3
P2017,Intake Manifold Runner Position Sensor / Switch Circuit High Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,3,3
P2018,Intake Manifold Runner Position Sensor / Switch Circuit Intermittent Bank 1,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,4,3
P2019,Intake Manifold Runner Position Sensor / Switch Circuit Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,4,3
P2020,Intake Manifold Runner Position Sensor / Switch Circuit Range Perf Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,4,3
P2021,Intake Manifold Runner Position Sensor / Switch Circuit Low Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,3,3
P2022,Intake Manifold Runner Position Sensor / Switch Circuit High Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,3,3
P2023,Intake Manifold Runner Position Sensor / Switch Circuit Intermittent Bank 2,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,4,3
P2024,EVAP Fuel Vapor Temp Sensor Circuit,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2025,EVAP Fuel Vapor Temp Sensor Range,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2026,EVAP Fuel Vapor Temp Sensor Circuit Low,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2027,EVAP Fuel Vapor Temp Sensor Circuit High,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2028,EVAP Fuel Vapor Temp Sensor Circuit Intermittent,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",MEDIUM,5,3
P2029,Fuel Fired Heater Disabled,"Yakıt, Emisyon & SCR / AdBlue Dozaj Sistemi",CRITICAL_STOP,5,3
P0020,"""B"" Camshaft Position Actuator Circuit (Bank 2)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,4,2
P0021,"""A"" Camshaft Position - Timing Over-Advanced or System Performance (Bank 2)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,4,3
P0022,"""A"" Camshaft Position - Timing Over-Retarded (Bank 2)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,4,3
P0023,"""B"" Camshaft Position Actuator Circuit (Bank 2)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,3,3
P0024,"""B"" Camshaft Position - Timing Over-Advanced or System Performance (Bank 2)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,4,3
P0025,"""B"" Camshaft Position - Timing Over-Retarded (Bank 2)",Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,4,3
P0026,Intake Valve Control Solenoid Circuit Range/Perf. B1,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0027,Exhaust Valve Control Solenoid Circuit Range/Perf. B1,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0028,Intake Valve Control Solenoid Circuit Range/Perf. B2,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0029,Exhaust Valve Control Solenoid Circuit Range/Perf. B2,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,LOW,5,3
P0031,Oxygen (A/F) Sensor Heater Control Circuit Low (Bank 1 Sensor 1),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,4,4
P0032,Oxygen (A/F) Sensor Heater Control Circuit High (Bank 1 Sensor 1),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,4,4
P0033,Turbo Charger Bypass Valve Control Circuit,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,3
P0034,Turbo Charger Bypass Valve Control Circuit Low,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,3
P0035,Turbo Charger Bypass Valve Control Circuit High,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,4
P0036,Heated Oxygen Sensor Control Circuit B1S2,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0037,HO2S Heater Control Circuit Low B1S2,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,4,3
P0038,HO2S Heater Control Circuit High (Bank 1 Sensor 2),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,CRITICAL_STOP,5,3
P0039,Turbo Charger Bypass Valve Control Circuit Range Performance,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,4
P0040,O2 Sensor Signals Swapped Bank 1 Bank 2 Sensor 1,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0041,O2 Sensor Signals Swapped Bank 1 Bank 2 Sensor 2,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0042,Heated Oxygen Sensor Control Circuit B1S3,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,3,3
P0043,HO2S Heater Control Circuit Low B1S3,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,4,3
P0044,HO2S Heater Control Circuit High (Bank 1 Sensor 3),Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,CRITICAL_STOP,5,3
P0045,Turbo/Supercharger Boost Control A Circuit Open,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,4
P0046,Turbo/Supercharger Boost Control A Circuit Range Performance,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,4
P0047,Turbo/Supercharger Boost Control A Circuit Low,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,4
P0048,Turbo/Supercharger Boost Control A Circuit High,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,4
P0049,Turbo / Supercharger Turbine Overspeed,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,5,3
P0050,HO2S Heater Control Circuit B2S1,Yakıt Ölçümü & Hava Emiş / Kam Mili Zamanlaması,MEDIUM,4,3
C0016,P0016 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0017,P0017 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0018,P0018 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0019,P0019 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0020,P0020 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0021,P0021 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0022,P0022 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0023,P0023 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0024,P0024 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0025,P0025 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0026,P0026 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0027,P0027 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0028,P0028 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0029,P0029 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0030,P0030 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0031,P0031 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0032,P0032 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0033,P0033 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0034,P0034 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0035,P0035 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0036,P0036 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0037,P0037 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0038,P0038 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0039,P0039 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0040,P0040 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0041,P0041 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0042,P0042 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0043,P0043 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0044,P0044 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
C0045,P0045 OBD Code,"Şasi, ABS / ESP Fren Sistemi & Süspansiyon",MEDIUM,3,3
B0016,P0016 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0017,P0017 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0018,P0018 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0019,P0019 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0020,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0021,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0022,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0023,P0023 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0024,P0024 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0025,P0025 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0026,P0026 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0027,P0027 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0028,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0029,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0030,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0031,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0032,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0033,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0034,P0034 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0035,P0035 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0036,P0036 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0037,P0037 OBD Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0038,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0039,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0040,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0041,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
B0042,Body DTC Code,"Gövde Elektroniği, Aydınlatma & BCM",MEDIUM,3,3
