SPN,FMI,Başlık (TR),Alt Sistem,PGN,FMI Tanımı,Öncelik,Saha Adımı
102,0,Turboşarj Takviye Basıncı (Boost Pressure) - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Hava Emiş & Turboşarj (CAC),65270 (IC1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
102,2,"Turboşarj Takviye Basıncı (Boost Pressure) - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Hava Emiş & Turboşarj (CAC),65270 (IC1),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
102,16,Turboşarj Takviye Basıncı (Boost Pressure) - Veri normalin üzerinde (Orta Seviye - Derate Başlayabilir),Hava Emiş & Turboşarj (CAC),65270 (IC1),Data Valid But Above Normal - Moderate Severity,MEDIUM,Motor tork sınırlandırması (Derate) başlamadan önce ilgili devreyi temizleyin.
102,18,Turboşarj Takviye Basıncı (Boost Pressure) - Veri normalin altında (Orta Seviye - Tork Sınırlandırma),Hava Emiş & Turboşarj (CAC),65270 (IC1),Data Valid But Below Normal - Moderate Severity,MEDIUM,"Dozaj pompası, hava tahrik valfi veya debi kısıtlamalarını giderin."
157,0,Ortak Yakıt Yolu (Common Rail) Basıncı - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Yüksek Basınç Yakıt Enjeksiyonu,65271 (FED1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
157,1,Ortak Yakıt Yolu (Common Rail) Basıncı - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),Yüksek Basınç Yakıt Enjeksiyonu,65271 (FED1),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
157,3,Ortak Yakıt Yolu (Common Rail) Basıncı - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Yüksek Basınç Yakıt Enjeksiyonu,65271 (FED1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
157,4,Ortak Yakıt Yolu (Common Rail) Basıncı - Voltaj normalin altında veya şasiye (GND) kısa devre,Yüksek Basınç Yakıt Enjeksiyonu,65271 (FED1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
157,16,Ortak Yakıt Yolu (Common Rail) Basıncı - Veri normalin üzerinde (Orta Seviye - Derate Başlayabilir),Yüksek Basınç Yakıt Enjeksiyonu,65271 (FED1),Data Valid But Above Normal - Moderate Severity,MEDIUM,Motor tork sınırlandırması (Derate) başlamadan önce ilgili devreyi temizleyin.
157,18,Ortak Yakıt Yolu (Common Rail) Basıncı - Veri normalin altında (Orta Seviye - Tork Sınırlandırma),Yüksek Basınç Yakıt Enjeksiyonu,65271 (FED1),Data Valid But Below Normal - Moderate Severity,MEDIUM,"Dozaj pompası, hava tahrik valfi veya debi kısıtlamalarını giderin."
3251,0,DPF Partikül Filtresi Fark Basıncı - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Egzoz & DPF Kurum Yönetimi,64948 (A1D1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
3251,2,"DPF Partikül Filtresi Fark Basıncı - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Egzoz & DPF Kurum Yönetimi,64948 (A1D1),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
3251,3,DPF Partikül Filtresi Fark Basıncı - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Egzoz & DPF Kurum Yönetimi,64948 (A1D1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
3251,4,DPF Partikül Filtresi Fark Basıncı - Voltaj normalin altında veya şasiye (GND) kısa devre,Egzoz & DPF Kurum Yönetimi,64948 (A1D1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
3251,16,DPF Partikül Filtresi Fark Basıncı - Veri normalin üzerinde (Orta Seviye - Derate Başlayabilir),Egzoz & DPF Kurum Yönetimi,64948 (A1D1),Data Valid But Above Normal - Moderate Severity,MEDIUM,Motor tork sınırlandırması (Derate) başlamadan önce ilgili devreyi temizleyin.
3719,0,DPF Kurum Doluluk Oranı - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Egzoz & DPF Rejenerasyonu,64948 (A1D1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
3719,15,DPF Kurum Doluluk Oranı - Veri normalin üzerinde (Hafif Uyarı Seviyesi),Egzoz & DPF Rejenerasyonu,64948 (A1D1),Data Valid But Above Normal - Least Severe Level,LOW,Filtre ve soğutma temizliği yapın; sistem henüz arıza lambası yakmamış olabilir.
3719,16,DPF Kurum Doluluk Oranı - Veri normalin üzerinde (Orta Seviye - Derate Başlayabilir),Egzoz & DPF Rejenerasyonu,64948 (A1D1),Data Valid But Above Normal - Moderate Severity,MEDIUM,Motor tork sınırlandırması (Derate) başlamadan önce ilgili devreyi temizleyin.
4364,1,SCR Katalizör NOx Dönüşüm Verimliliği - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),Egzoz & SCR / AdBlue Dozaj Sistemi,64947 (A1D2),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
4364,18,SCR Katalizör NOx Dönüşüm Verimliliği - Veri normalin altında (Orta Seviye - Tork Sınırlandırma),Egzoz & SCR / AdBlue Dozaj Sistemi,64947 (A1D2),Data Valid But Below Normal - Moderate Severity,MEDIUM,"Dozaj pompası, hava tahrik valfi veya debi kısıtlamalarını giderin."
3361,3,AdBlue / DEF Dozaj Ünitesi & Enjektörü - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,SCR / AdBlue Sıvı Enjeksiyonu,64946 (A1D3),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
3361,4,AdBlue / DEF Dozaj Ünitesi & Enjektörü - Voltaj normalin altında veya şasiye (GND) kısa devre,SCR / AdBlue Sıvı Enjeksiyonu,64946 (A1D3),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
3361,5,AdBlue / DEF Dozaj Ünitesi & Enjektörü - Akım normalin altında veya açık devre (Kablo Kopuk / Temassız),SCR / AdBlue Sıvı Enjeksiyonu,64946 (A1D3),Current Below Normal Or Open Circuit,MEDIUM,Aktüatör/solenoid bobin direncini ölçün ve soket kilit tırnaklarını kontrol edin.
3361,7,AdBlue / DEF Dozaj Ünitesi & Enjektörü - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),SCR / AdBlue Sıvı Enjeksiyonu,64946 (A1D3),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
3364,1,AdBlue / DEF Sıvı Kalitesi & Üre Konsantrasyonu - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),SCR / AdBlue Sıvı Kalitesi,65110 (AT1T1I),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
3364,18,AdBlue / DEF Sıvı Kalitesi & Üre Konsantrasyonu - Veri normalin altında (Orta Seviye - Tork Sınırlandırma),SCR / AdBlue Sıvı Kalitesi,65110 (AT1T1I),Data Valid But Below Normal - Moderate Severity,MEDIUM,"Dozaj pompası, hava tahrik valfi veya debi kısıtlamalarını giderin."
1087,1,Pnömatik Fren Hava Basıncı - Devre 1 - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),Pnömatik Fren Sistemi (Hava Tankı 1),65274 (AIR1),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
1087,17,Pnömatik Fren Hava Basıncı - Devre 1 - Veri normalin altında (Hafif Uyarı Seviyesi),Pnömatik Fren Sistemi (Hava Tankı 1),65274 (AIR1),Data Valid But Below Normal - Least Severe Level,LOW,Sistem basınç regülatörünü ve filtre tıkanıklığını kontrol edin.
1087,18,Pnömatik Fren Hava Basıncı - Devre 1 - Veri normalin altında (Orta Seviye - Tork Sınırlandırma),Pnömatik Fren Sistemi (Hava Tankı 1),65274 (AIR1),Data Valid But Below Normal - Moderate Severity,MEDIUM,"Dozaj pompası, hava tahrik valfi veya debi kısıtlamalarını giderin."
1088,1,Pnömatik Fren Hava Basıncı - Devre 2 - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),Pnömatik Fren Sistemi (Hava Tankı 2),65274 (AIR1),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
1088,17,Pnömatik Fren Hava Basıncı - Devre 2 - Veri normalin altında (Hafif Uyarı Seviyesi),Pnömatik Fren Sistemi (Hava Tankı 2),65274 (AIR1),Data Valid But Below Normal - Least Severe Level,LOW,Sistem basınç regülatörünü ve filtre tıkanıklığını kontrol edin.
1088,18,Pnömatik Fren Hava Basıncı - Devre 2 - Veri normalin altında (Orta Seviye - Tork Sınırlandırma),Pnömatik Fren Sistemi (Hava Tankı 2),65274 (AIR1),Data Valid But Below Normal - Moderate Severity,MEDIUM,"Dozaj pompası, hava tahrik valfi veya debi kısıtlamalarını giderin."
522,2,"Şanzıman Mevcut Vites - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Otomatik / AMT Şanzıman Kontrolü,61445 (ETC2),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
522,7,Şanzıman Mevcut Vites - Mekanik sistem yanıt vermiyor veya kalibrasyon dışı (Mekanik Sıkışma),Otomatik / AMT Şanzıman Kontrolü,61445 (ETC2),Mechanical System Not Responding Or Out Of Adjustment,CRITICAL_STOP,"Aktüatör itici kollarını, kurum birikmesini ve hava/yağ tahrik hatlarını mekanik olarak inceleyin."
522,11,Şanzıman Mevcut Vites - Kök neden bilinmiyor (Genel Arıza Modu),Otomatik / AMT Şanzıman Kontrolü,61445 (ETC2),Root Cause Not Known,LOW,Öncelikli olarak Freeze Frame (DM4) verilerini ve motor çalışma koşullarını okuyun.
168,0,Akü Voltajı / Ana Besleme Hattı (KL30) - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Elektrik Dağıtım & Alternatör,65271 (VEP1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
168,1,Akü Voltajı / Ana Besleme Hattı (KL30) - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),Elektrik Dağıtım & Alternatör,65271 (VEP1),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
168,15,Akü Voltajı / Ana Besleme Hattı (KL30) - Veri normalin üzerinde (Hafif Uyarı Seviyesi),Elektrik Dağıtım & Alternatör,65271 (VEP1),Data Valid But Above Normal - Least Severe Level,LOW,Filtre ve soğutma temizliği yapın; sistem henüz arıza lambası yakmamış olabilir.
168,17,Akü Voltajı / Ana Besleme Hattı (KL30) - Veri normalin altında (Hafif Uyarı Seviyesi),Elektrik Dağıtım & Alternatör,65271 (VEP1),Data Valid But Below Normal - Least Severe Level,LOW,Sistem basınç regülatörünü ve filtre tıkanıklığını kontrol edin.
91,2,"Gaz Pedalı Konum Sensörü 1 - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Elektronik Gaz Kelebeği & Sürücü Talebi,61443 (EEC2),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
91,3,Gaz Pedalı Konum Sensörü 1 - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Elektronik Gaz Kelebeği & Sürücü Talebi,61443 (EEC2),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
91,4,Gaz Pedalı Konum Sensörü 1 - Voltaj normalin altında veya şasiye (GND) kısa devre,Elektronik Gaz Kelebeği & Sürücü Talebi,61443 (EEC2),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
91,8,"Gaz Pedalı Konum Sensörü 1 - Anormal frekans, darbe genişliği (PWM) veya periyot",Elektronik Gaz Kelebeği & Sürücü Talebi,61443 (EEC2),Abnormal Frequency Or Pulse Width Or Period,LOW,Osiloskop ile PWM sinyal doluluk oranını (Duty Cycle) ve gürültü seviyesini inceleyin.
92,0,Mevcut Devirdeki Motor Yük Yüzdesi - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Motor Yönetimi & Tork Talebi,61444 (EEC1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
92,2,"Mevcut Devirdeki Motor Yük Yüzdesi - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Motor Yönetimi & Tork Talebi,61444 (EEC1),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
94,1,Düşük Basınç Yakıt Besleme Basıncı - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),Yakıt Besleme & Ön Filtre,65263 (EFL_P1),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
94,16,Düşük Basınç Yakıt Besleme Basıncı - Veri normalin üzerinde (Orta Seviye - Derate Başlayabilir),Yakıt Besleme & Ön Filtre,65263 (EFL_P1),Data Valid But Above Normal - Moderate Severity,MEDIUM,Motor tork sınırlandırması (Derate) başlamadan önce ilgili devreyi temizleyin.
94,18,Düşük Basınç Yakıt Besleme Basıncı - Veri normalin altında (Orta Seviye - Tork Sınırlandırma),Yakıt Besleme & Ön Filtre,65263 (EFL_P1),Data Valid But Below Normal - Moderate Severity,MEDIUM,"Dozaj pompası, hava tahrik valfi veya debi kısıtlamalarını giderin."
108,2,"Atmosferik Çevre Basıncı - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Emiş Havası & Rakım Telafisi,65269 (AMB),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
108,3,Atmosferik Çevre Basıncı - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Emiş Havası & Rakım Telafisi,65269 (AMB),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
108,4,Atmosferik Çevre Basıncı - Voltaj normalin altında veya şasiye (GND) kısa devre,Emiş Havası & Rakım Telafisi,65269 (AMB),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
174,0,Motor Yakıt Sıcaklığı - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Yakıt Yönetimi & Yoğunluk Düzeltmesi,65262 (ET1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
174,3,Motor Yakıt Sıcaklığı - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Yakıt Yönetimi & Yoğunluk Düzeltmesi,65262 (ET1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
174,4,Motor Yakıt Sıcaklığı - Voltaj normalin altında veya şasiye (GND) kısa devre,Yakıt Yönetimi & Yoğunluk Düzeltmesi,65262 (ET1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
174,16,Motor Yakıt Sıcaklığı - Veri normalin üzerinde (Orta Seviye - Derate Başlayabilir),Yakıt Yönetimi & Yoğunluk Düzeltmesi,65262 (ET1),Data Valid But Above Normal - Moderate Severity,MEDIUM,Motor tork sınırlandırması (Derate) başlamadan önce ilgili devreyi temizleyin.
175,0,Motor Yağ Sıcaklığı - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Motor Yağlama & Termal Yönetim,65262 (ET1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
175,3,Motor Yağ Sıcaklığı - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Motor Yağlama & Termal Yönetim,65262 (ET1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
175,4,Motor Yağ Sıcaklığı - Voltaj normalin altında veya şasiye (GND) kısa devre,Motor Yağlama & Termal Yönetim,65262 (ET1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
175,16,Motor Yağ Sıcaklığı - Veri normalin üzerinde (Orta Seviye - Derate Başlayabilir),Motor Yağlama & Termal Yönetim,65262 (ET1),Data Valid But Above Normal - Moderate Severity,MEDIUM,Motor tork sınırlandırması (Derate) başlamadan önce ilgili devreyi temizleyin.
183,0,Anlık Yakıt Tüketim Debisi - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Yakıt Ekonomisi & Telemetri,65266 (LFE1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
183,2,"Anlık Yakıt Tüketim Debisi - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Yakıt Ekonomisi & Telemetri,65266 (LFE1),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
247,2,"Toplam Motor Çalışma Saati - Veri tutarsız, kesintili veya yanlış (Sinyal Sıçraması)",Motor Servis & Bakım Takibi,65253 (HOURS),"Data Erratic, Intermittent Or Incorrect",LOW,"Kablo demetinde titreşim temassızlığı, gevşek klemens veya manyetik relüktör çark diş hasarı arayın."
247,12,"Toplam Motor Çalışma Saati - Arızalı akıllı cihaz, mikrodenetleyici veya dahili bileşen",Motor Servis & Bakım Takibi,65253 (HOURS),Bad Intelligent Device Or Component,LOW,Modülün besleme voltajını teyit edin; düzelmiyorsa dahili ECU/Sensör arızasıdır.
3242,0,DPF Giriş Egzoz Gazı Sıcaklığı - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Egzoz & DPF Termal Rejenerasyonu,64948 (A1D1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
3242,3,DPF Giriş Egzoz Gazı Sıcaklığı - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Egzoz & DPF Termal Rejenerasyonu,64948 (A1D1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
3242,4,DPF Giriş Egzoz Gazı Sıcaklığı - Voltaj normalin altında veya şasiye (GND) kısa devre,Egzoz & DPF Termal Rejenerasyonu,64948 (A1D1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
3242,16,DPF Giriş Egzoz Gazı Sıcaklığı - Veri normalin üzerinde (Orta Seviye - Derate Başlayabilir),Egzoz & DPF Termal Rejenerasyonu,64948 (A1D1),Data Valid But Above Normal - Moderate Severity,MEDIUM,Motor tork sınırlandırması (Derate) başlamadan önce ilgili devreyi temizleyin.
3246,0,DPF Çıkış Egzoz Gazı Sıcaklığı - Veri geçerli fakat normal çalışma aralığının üzerinde (Kritik Yüksek),Egzoz & DPF Termal Rejenerasyonu,64948 (A1D1),Data Valid But Above Normal Range - Most Severe Level,CRITICAL_STOP,Sensör besleme hattını ve fiziksel aşırı basınç/sıcaklık durumunu mekanik test portundan doğrulayın.
3246,3,DPF Çıkış Egzoz Gazı Sıcaklığı - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,Egzoz & DPF Termal Rejenerasyonu,64948 (A1D1),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
3246,4,DPF Çıkış Egzoz Gazı Sıcaklığı - Voltaj normalin altında veya şasiye (GND) kısa devre,Egzoz & DPF Termal Rejenerasyonu,64948 (A1D1),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
3246,16,DPF Çıkış Egzoz Gazı Sıcaklığı - Veri normalin üzerinde (Orta Seviye - Derate Başlayabilir),Egzoz & DPF Termal Rejenerasyonu,64948 (A1D1),Data Valid But Above Normal - Moderate Severity,MEDIUM,Motor tork sınırlandırması (Derate) başlamadan önce ilgili devreyi temizleyin.
1761,1,AdBlue / DEF Sıvı Tankı Seviyesi - Veri geçerli fakat normal çalışma aralığının altında (Kritik Düşük),SCR / AdBlue Sıvı Depolama,65110 (AT1T1I),Data Valid But Below Normal Range - Most Severe Level,CRITICAL_STOP,"Sıvı seviyelerini, emiş filtrelerini ve mekanik aşınma belirtilerini kontrol edin."
1761,3,AdBlue / DEF Sıvı Tankı Seviyesi - Voltaj normalin üzerinde veya yüksek kaynağa (+5V / +24V) kısa devre,SCR / AdBlue Sıvı Depolama,65110 (AT1T1I),"Voltage Above Normal, Or Shorted To High Source",MEDIUM,Sensör soketini ayırın; voltaj şasiye göre düşmüyorsa kablo demeti akü besleme hattına ezilmiştir.
1761,4,AdBlue / DEF Sıvı Tankı Seviyesi - Voltaj normalin altında veya şasiye (GND) kısa devre,SCR / AdBlue Sıvı Depolama,65110 (AT1T1I),"Voltage Below Normal, Or Shorted To Low Source",MEDIUM,Sinyal pini ile şasi arasındaki direnci ölçün (<1.0 Ω ise tesisatta şasi teması vardır).
